GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.service,ParkingService,19,258,4,9,6,75,4,14,0,11
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.service,FareCalculatorService,5,113,2,9,1,31,2,10,0,6
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.service,InteractiveShell,9,68,3,3,5,24,3,5,0,4
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem,App,5,7,0,0,3,2,1,2,1,2
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.model,Ticket,9,77,1,3,3,19,3,14,2,13
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.model,ParkingSpot,9,53,4,4,3,18,5,8,1,8
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,5,0,1,0,1
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.dao,ParkingSpotDAO,12,78,1,3,4,23,1,5,0,4
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.dao,TicketDAO,35,234,5,7,11,62,5,7,0,6
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.util,ScannerWrapper,0,12,0,0,0,3,0,3,0,3
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.util,InputReaderUtil,0,70,0,10,0,22,0,9,0,4
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/main/java,com.parkit.parkingsystem.config,DataBaseConfig,26,56,3,3,6,26,3,6,0,6
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.config,DataBaseTestConfig,42,50,2,4,8,23,2,7,0,6
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.config,DataBaseConfigIT,12,302,4,4,4,121,4,16,0,16
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem,AppTest,0,13,0,0,0,5,0,3,0,3
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.service,InteractiveShellTest,0,88,0,0,0,25,0,3,0,3
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.service,DataBasePrepareService,8,88,1,1,2,23,1,3,0,3
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.dao,ParkingSpotDAOIT,8,400,4,4,2,104,4,17,0,17
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.dao,TicketDAOIT,7,231,1,3,2,66,1,11,0,10
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.model,ParkingSpotTest,0,128,0,0,0,45,0,10,0,10
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.model,TicketTest,0,98,0,0,0,37,0,9,0,9
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.unittest.util,InputReaderUtilTest,27,214,0,0,3,58,3,13,3,13
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration,ParkingDataBaseIT,0,116,0,0,0,33,0,7,0,7
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.unittest.service,FareCalculatorServiceTest,18,615,0,0,0,134,3,15,3,15
parkingsystem (22 mai 2021 05:59:57)/parkingsystem/src/test/java,com.parkit.parkingsystem.unittest.service,ParkingServiceTest,53,970,1,1,13,234,3,28,2,28
